"","mean.rank.diff","pval"
"CA-AZ",48.818419242016,1
"CO-AZ",408.988946275346,0.0721617269608914
"ID-AZ",1246.83090146686,3.0746689248318e-27
"MT-AZ",802.203456435525,2.35955691490913e-13
"NM-AZ",-480.484549291529,0.0235086590127345
"NV-AZ",1222.95093457944,0.0725946538221543
"OR-AZ",388.719915056663,0.00632001515258929
"UT-AZ",655.699082727587,0.000579141082467312
"WA-AZ",1107.00149637719,3.78718367244152e-16
"WY-AZ",-527.914919079097,0.0644172848752094
"CO-CA",360.17052703333,0.0434875921007369
"ID-CA",1198.01248222484,3.88062420009637e-55
"MT-CA",753.385037193509,4.11469273447715e-33
"NM-CA",-529.302968533545,0.000473124699038435
"NV-CA",1174.13251533742,0.0821271045211178
"OR-CA",339.901495814647,1.52508457530266e-05
"UT-CA",606.880663485571,9.86544748045491e-05
"WA-CA",1058.18307713518,5.40021868988683e-25
"WY-CA",-576.733338321113,0.00900385091659903
"ID-CO",837.841955191511,2.18704039825393e-10
"MT-CO",393.21451016018,0.0115159842455784
"NM-CO",-889.473495566874,3.89421646593691e-07
"NV-CO",813.961988304094,0.685786865813734
"OR-CO",-20.2690312186828,1
"UT-CO",246.710136452242,1
"WA-CO",698.012550101847,1.27172316629269e-05
"WY-CO",-936.903865354443,2.09658279499456e-05
"MT-ID",-444.627445031331,1.94402628366876e-09
"NM-ID",-1727.31545075838,8.98387366265532e-41
"NV-ID",-23.8799668874171,1
"OR-ID",-858.110986410194,8.78669708129091e-30
"UT-ID",-591.131818739269,0.000282602328466673
"WA-ID",-139.829405089664,1
"WY-ID",-1774.74582054595,3.13560367314621e-25
"NM-MT",-1282.68800572705,1.29346359204725e-25
"NV-MT",420.747478143914,1
"OR-MT",-413.483541378862,8.50322559885833e-11
"UT-MT",-146.504373707938,1
"WA-MT",304.798039941667,0.0228833435479087
"WY-MT",-1330.11837551462,2.95486154178664e-15
"NV-NM",1703.43548387097,0.00262275941157584
"OR-NM",869.204464348191,4.0655770845866e-11
"UT-NM",1136.18363201912,2.36735601683988e-10
"WA-NM",1587.48604566872,2.13910042871805e-27
"WY-NM",-47.4303697875687,1
"OR-NV",-834.231019522776,0.601235917376962
"UT-NV",-567.251851851852,1
"WA-NV",-115.949438202247,1
"WY-NV",-1750.86585365854,0.00262275941157584
"UT-OR",266.979167670925,0.507768287501405
"WA-OR",718.281581320529,7.63380006785923e-12
"WY-OR",-916.63483413576,4.98075094353843e-07
"WA-UT",451.302413649605,0.0434875921007369
"WY-UT",-1183.61400180668,6.22375021199488e-08
"WY-WA",-1634.91641545629,1.32399440925141e-18
