"State","Var","Stat","DF","PVAL","note"
"AZ","Lead",3.31868961453237,1,0.0684964043766909,""
"CA","Lead",570.102085150584,1,5.33470518617425e-126,""
"CO","Lead",20.7695128402225,1,5.18010642966047e-06,""
"ID","Lead",146.000090060515,1,1.29813972419038e-33,""
"NV","Lead",0.631740034405907,1,0.426717775371096,""
"NM","Lead",137.306395785363,1,1.03343301201463e-31,""
"OR","Lead",20.1170598088465,1,7.28440206895849e-06,""
"UT","Lead",0.699345086096561,1,0.403003842334277,""
"WA","Lead",9.56995012283456,1,0.00197788156070939,""
