,mean.rank.diff,pval,,,,,,,,,,,,,,
CA-AZ,403.8673401,0.007567462,,,,AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY
CO-AZ,-140.6856315,1,,,AZ,,,,,,,,,,,
ID-AZ,585.2975979,8.00E-06,,, CA,403.8673401,,,,,,,,,,
MT-AZ,240.3962201,0.538184937,,, CO,-140.6856315,-544.5529716,,,,,,,,,
NM-AZ,-339.8331237,0.559484386,,, ID,585.2975979,181.4302578,725.9832294,,,,,,,,
NV-AZ,682.2149533,1,,, MT,240.3962201,-163.4711199,381.0818516,-344.9013778,,,,,,,
OR-AZ,91.13794676,1,,, NM,-339.8331237,-743.7004637,-199.1474921,-925.1307216,-580.2293438,,,,,,
UT-AZ,117.1075459,1,,, NV,682.2149533,278.3476132,822.9005848,96.91735537,441.8187332,1022.048077,,,,,
WA-AZ,163.6269383,1,,, OR,91.13794676,-312.7293933,231.8235783,-494.1596511,-149.2582734,430.9710704,-591.0770065,,,,
WY-AZ,-383.9923638,0.81075092,,, UT,117.1075459,-286.7597942,257.7931774,-468.190052,-123.2886743,456.9406695,-565.1074074,25.9695991,,,
CO-CA,-544.5529716,0.000180009,,, WA,163.6269383,-240.2404018,304.3125698,-421.6706596,-76.76928183,503.4600619,-518.588015,72.48899153,46.51939243,,
ID-CA,181.4302578,0.480098742,,, WY,-383.9923638,-787.8597039,-243.3067323,-969.2899617,-624.3885839,-44.15924015,-1066.207317,-475.1303106,-501.0999097,-547.6193021,
MT-CA,-163.4711199,0.256204038,,,,,,,,,,,,,,
NM-CA,-743.7004637,7.15E-08,,,,,,,,,,,,,,
NV-CA,278.3476132,1,,,,AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY
OR-CA,-312.7293933,0.000164148,,,AZ,,,,,,,,,,,
UT-CA,-286.7597942,0.673192237,,, CA,0.007567462,,,,,,,,,,
WA-CA,-240.2404018,0.472041418,,, CO,1,0.000180009,,,,,,,,,
WY-CA,-787.8597039,6.00E-05,,, ID,8.00E-06,0.480098742,1.24E-07,,,,,,,,
ID-CO,725.9832294,1.24E-07,,, MT,0.538184937,0.256204038,2.96E-02,1.74E-05,,,,,,,
MT-CO,381.0818516,0.029573048,,, NM,0.559484386,7.15E-08,1.00E+00,1.20E-11,4.39E-05,,,,,,
NM-CO,-199.1474921,1,,, NV,1,1,1.00E+00,1.00E+00,1.00E+00,0.538184937,,,,,
NV-CO,822.9005848,1,,, OR,1,0.000164148,1.00E+00,9.42E-10,3.60E-01,0.015699825,1,,,,
OR-CO,231.8235783,1,,, UT,1,0.673192237,1.00E+00,1.80E-02,1.00E+00,0.197266844,1,1,,,
UT-CO,257.7931774,1,,, WA,1,0.472041418,6.73E-01,1.92E-03,1.00E+00,0.015337402,1,1,1, ,
WA-CO,304.3125698,0.673192237,,, WY,0.81075092,6.00E-05,1.00E+00,2.28E-07,3.81E-03,1,0.523397263,0.119634371,0.356759634,0.074360863,
WY-CO,-243.3067323,1,,,,,,,,,,,,,,
MT-ID,-344.9013778,1.74E-05,,,,,,,,,,,,,,
NM-ID,-925.1307216,1.20E-11,,,,,,,,,,,,,,
NV-ID,96.91735537,1,,,,,,,,,,,,,,
OR-ID,-494.1596511,9.42E-10,,,,,,,,,,,,,,
UT-ID,-468.190052,0.017958147,,,,,,,,,,,,,,
WA-ID,-421.6706596,0.001922492,,,,,,,,,,,,,,
WY-ID,-969.2899617,2.28E-07,,,,,,,,,,,,,,
NM-MT,-580.2293438,4.39E-05,,,,,,,,,,,,,,
NV-MT,441.8187332,1,,,,,,,,,,,,,,
OR-MT,-149.2582734,0.360104608,,,,,,,,,,,,,,
UT-MT,-123.2886743,1,,,,,,,,,,,,,,
WA-MT,-76.76928183,1,,,,,,,,,,,,,,
WY-MT,-624.3885839,0.003813844,,,,,,,,,,,,,,
NV-NM,1022.048077,0.538184937,,,,,,,,,,,,,,
OR-NM,430.9710704,0.015699825,,,,,,,,,,,,,,
UT-NM,456.9406695,0.197266844,,,,,,,,,,,,,,
WA-NM,503.4600619,0.015337402,,,,,,,,,,,,,,
WY-NM,-44.15924015,1,,,,,,,,,,,,,,
OR-NV,-591.0770065,1,,,,,,,,,,,,,,
UT-NV,-565.1074074,1,,,,,,,,,,,,,,
WA-NV,-518.588015,1,,,,,,,,,,,,,,
WY-NV,-1066.207317,0.523397263,,,,,,,,,,,,,,
UT-OR,25.9695991,1,,,,,,,,,,,,,,
WA-OR,72.48899153,1,,,,,,,,,,,,,,
WY-OR,-475.1303106,0.119634371,,,,,,,,,,,,,,
WA-UT,46.51939243,1,,,,,,,,,,,,,,
WY-UT,-501.0999097,0.356759634,,,,,,,,,,,,,,
WY-WA,-547.6193021,0.074360863,,,,,,,,,,,,,,
